Shortcut,Full
H,Heat
QAD,Quarter final
QEH,Quarter final
SAB,Semi Final
SCD,Semi Final
SEF,Semi Final
SGH,Semi Final
F,Final
Final,Final
TT,Time Trial
TT,Time Trial
TF,Timed Final
R,Repachage
H1,Heat
H2,Heat
H3,Heat
H4,Heat
H5,Heat
H6,Heat
H7,Heat
H8,Heat
QAD1,Quarter final
QAD2,Quarter final
QAD3,Quarter final
QAD4,Quarter final
QEH1,Quarter final
QEH2,Quarter final
QEH3,Quarter final
QEH4,Quarter final
SAB1,Semi Final
SAB2,Semi Final
SCD1,Semi Final
SCD2,Semi Final
SEF1,Semi Final
SEF2,Semi Final
SGH1,Semi Final
SGH2,Semi Final
FA,Final
FB,Final
FC,Final
FD,Final
FE,Final
FF,Final
FG,Final
FH,Final
TT1,Time Trial
TT2,Time Trial
TT3,Time Trial
TT4,Time Trial
TT5,Time Trial
TT6,Time Trial
TT7,Time Trial
TT8,Time Trial
TFA,Timed Final
TFB,Timed Final
TFC,Timed Final
TFD,Timed Final
TFE,Timed Final
TFF,Timed Final
TFG,Timed Final
TFH,Timed Final
R1,Repachage
R2,Repachage
R3,Repachage
R4,Repachage
R5,Repachage
R6,Repachage
R7,Repachage
R8,Repachage
K,Knockout
K1,Knockout
K2,Knockout
K3,Knockout
K4,Knockout
K5,Knockout
K6,Knockout
K7,Knockout
K8,Knockout
