EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
1,W2- T1,1.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,3 [11:02],STRODE Daniela 05/BULAŠA Diana 01,11:02:02.30,11:04:14.85,,,,02:13.4,02:12.55,-10.0,02:02.56,,,
1,W2- T1,2.0,Daugavpils Sporta skola,DSS,2 [11:01],GERMANE Anastasija 05/ROSMANOVIČA Elīna 04,11:01:00.05,11:03:08.47,,,,02:08.5,02:08.42,-5.0,02:03.43,00:00.87,,
1,W2- T1,3.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,1 [11:00],HOHLOVA Polina 04/PARFENA Līga 01,11:00:01.41,11:02:10.55,,,,02:09.9,02:09.14,-2.0,02:07.15,00:04.59,,
2,M1x T1,1.0,Jelgavas BJSS,JBJSS,32 [11:34],STRAZDS Patriks 05,11:33:46.77,11:35:22.72,,,,01:36.2,01:35.95,,01:35.95,,,
2,M1x T1,2.0,Individuāli,IND,18 [11:20],KRŪMIŅŠ Krists Tomass 04,11:20:00.58,11:21:38.76,,,,01:38.4,01:38.18,,01:38.18,00:02.23,,
2,M1x T1,3.0,MSĢ TSV SASS,SASS,4 [11:06],SKIRMANTS Henrijs 08,11:06:01.10,11:07:40.96,,,,01:39.8,01:39.86,,01:39.86,00:03.91,,
2,M1x T1,4.0,Jelgavas BJSS,JBJSS,33 [11:35],DONOVS Emīls Niks 06,11:34:57.99,11:36:38.41,,,,01:40.7,01:40.42,,01:40.42,00:04.47,,
2,M1x T1,5.0,LOVE,LOVE,30 [11:32],ANDERSONS Vladislavs 05,11:32:00.17,11:33:41.62,,,,01:41.6,01:41.45,,01:41.45,00:05.50,,
2,M1x T1,6.0,Individuāli,IND,17 [11:19],KUDELKO Marko 05,11:18:47.91,11:20:30.29,,,,01:42.7,01:42.38,,01:42.38,00:06.43,,
2,M1x T1,7.0,MSĢ TSV SASS,SASS,26 [11:28],BERZIŅŠ Krists 08,11:27:55.62,11:29:38.35,,,,01:43.0,01:42.73,,01:42.73,00:06.78,,
2,M1x T1,8.0,MSĢ TSV SASS,SASS,12 [11:14],ZIRNIS Artūrs 07,11:14:00.68,11:15:43.42,,,,01:43.1,01:42.74,,01:42.74,00:06.79,,
2,M1x T1,9.0,Jelgavas BJSS,JBJSS,1 [11:03],SĒJĀNS Valters 06,11:03:01.52,11:04:44.68,,,,01:43.5,01:43.16,,01:43.16,00:07.21,,
2,M1x T1,10.0,MSĢ TSV SASS,SASS,6 [11:08],GRUNDĀNS Igo 02,11:08:00.05,11:09:43.44,,,,01:43.4,01:43.39,,01:43.39,00:07.44,,
2,M1x T1,11.0,Jelgavas BJSS,JBJSS,5 [11:07],KOLOSOVS Ņikita 07,11:07:00.30,11:08:44.61,,,,01:44.7,01:44.31,,01:44.31,00:08.36,,
2,M1x T1,12.0,MSĢ TSV SASS,SASS,29 [11:31],RASA Henriks 08,11:30:51.19,11:32:35.96,,,,01:44.8,01:44.77,,01:44.77,00:08.82,,
2,M1x T1,13.0,Daugavpils Sporta skola,DSS,10 [11:12],ŠALKOVSKIS Jegors 06,11:12:01.26,11:13:48.38,,,,01:47.4,01:47.12,,01:47.12,00:11.17,,
2,M1x T1,14.0,AK Daugava,AKDG,16 [11:18],LABLAIKS Laurenss 01,11:17:59.73,11:19:47.02,,,,01:47.3,01:47.29,,01:47.29,00:11.34,,
2,M1x T1,15.0,MSĢ TSV Jūrmala,MSG,19 [11:21],SPRŪDE Mihails  07,11:21:01.71,11:22:49.82,,,,01:48.4,01:48.11,,01:48.11,00:12.16,,
2,M1x T1,16.0,MSĢ TSV SASS,SASS,25 [11:27],REZEVSKIS Gustavs 06,11:26:58.77,11:28:47.15,,,,01:48.7,01:48.38,,01:48.38,00:12.43,,
2,M1x T1,17.0,MSĢ TSV SASS,SASS,13 [11:15],PAMOVSKIS Elgars 09,11:15:00.78,11:16:50.10,,,,01:49.7,01:49.32,,01:49.32,00:13.37,,
2,M1x T1,18.0,MSĢ TSV SASS,SASS,21 [11:23],RASA Frederiks 09,11:22:59.81,11:24:49.52,,,,01:49.8,01:49.71,,01:49.71,00:13.76,,
2,M1x T1,19.0,MSĢ TSV SASS,SASS,20 [11:22],EZERS Edvards 08,11:22:01.14,11:23:51.94,,,,01:50.9,01:50.80,,01:50.80,00:14.85,,
2,M1x T1,20.0,Jelgavas BJSS,JBJSS,8 [11:10],LIEPIŅŠ Kristers 09,11:10:00.57,11:11:52.07,,,,01:51.6,01:51.50,,01:51.50,00:15.55,,
2,M1x T1,21.0,MSĢ TSV SASS,SASS,11 [11:13],ELSTS Eduards 09,11:13:01.04,11:14:53.30,,,,01:52.5,01:52.26,,01:52.26,00:16.31,,
2,M1x T1,22.0,MSĢ TSV Jūrmala,MSG,14 [11:16],ARSENTJEVS Arnolds  07,11:16:02.68,11:17:55.48,,,,01:52.9,01:52.80,,01:52.80,00:16.85,,
2,M1x T1,23.0,MSĢ TSV SASS,SASS,3 [11:05],RAFAELS Ralfs 09,11:05:01.02,11:06:53.85,,,,01:53.0,01:52.83,,01:52.83,00:16.88,,
2,M1x T1,24.0,Jelgavas BJSS,JBJSS,28 [11:30],GAROZA Jānis 09,11:29:54.52,11:31:48.28,,,,01:53.7,01:53.76,,01:53.76,00:17.81,,
2,M1x T1,25.0,MSĢ TSV SASS,SASS,35 [11:37],TRIŠKINS Ignatijs 08,11:36:56.70,11:38:51.96,,,,01:55.4,01:55.26,,01:55.26,00:19.31,,
2,M1x T1,26.0,MSĢ TSV SASS,SASS,22 [11:24],BOZDORTS Raivo 08,11:24:02.13,11:25:59.12,,,,01:57.4,01:56.99,,01:56.99,00:21.04,,
