EventNum,Category
1,2xMix
2,C2MU15
3,C2WU15
4,JM1x
5,JM2x
6,JM2-
7,JM4x
8,JM4-
9,JM4+
10,JM8+
11,JW1x
12,JW2x
13,JW2-
14,JW4x
15,JW4-
16,JW4+
17,JW8+
18,BM1x
19,BM2x
20,BM2-
21,BM4x
22,BM4-
23,BM4+
24,BM8+
25,BW1x
26,BW2x
27,BW2-
28,BW4x
29,BW4-
30,BW4+
31,BW8+
32,BLM1x
33,BLM2x
34,BLM2-
35,BLM4x
36,BLW1x
37,BLW2x
38,BLW2-
39,BLW4x
40,M1x
41,M2x
42,M2-
43,M4x
44,M4-
45,M8+
46,W1x
47,W2x
48,W2-
49,W4x
50,W4-
51,W8+
52,PR1 M1x
53,PR2 M1x
54,PR3 M2-
55,PR1 W1x
56,PR2 W1x
57,PR2 Mix2x
58,PR3 Mix4+
59,PR3 Mix2x
60,LM1x
61,LW1x
62,LM2x
63,LW2x
64,LM2-
65,LW2-
66,LM4x
67,LW4x
1,Mix2x
3,WU15C2
2,MU15C2
